frame,x_offset,y_offset
0,3,0
1,2,1
2,1,2
3,-1,2
4,-3,3
5,-6,0
6,-8,-1
7,-9,-7
8,-3,-10
9,0,-8
10,2,-1
11,-1,-3
12,0,-1
13,1,-4
14,1,-4
15,0,-3
16,-2,-3
17,-2,-3
18,-4,-4
19,-4,-3
20,-2,-2
21,-3,-2
22,0,-4
23,1,-3
24,0,-4
25,-1,0
26,-1,0
27,-3,0
28,-1,1
29,-1,2
30,2,-2
31,2,-2
32,1,-5
33,-1,-7
34,-1,-7
35,1,-3
36,-1,-3
37,0,1
38,0,3
39,-1,-1
40,0,-3
41,0,-4
42,0,-7
43,1,-8
44,2,-4
45,4,4
46,7,3
47,5,8
48,1,9
49,1,6
50,0,-3
51,1,-1
52,0,-4
53,0,-8
54,0,-9
55,-1,-5
56,-1,-11
57,0,-14
58,-2,-10
59,-1,-9
60,-4,2
61,-2,-6
62,-3,0
63,-4,4
64,-3,3
65,0,0
66,-2,3
67,-1,2
68,-1,2
69,0,4
70,0,2
71,-1,6
72,1,6
73,1,-3
74,1,-5
75,0,-3
76,1,-6
77,3,-4
78,0,1
79,-1,3
80,-1,4
81,-1,6
82,0,7
83,1,4
84,4,2
85,2,-2
86,2,-1
87,1,-1
88,0,0
89,-1,-1
90,-2,0
91,-2,1
92,-3,3
93,-2,4
94,-1,3
95,-1,0
96,-3,1
97,-2,0
98,2,-2
99,-1,1
100,-2,2
101,-5,1
102,-5,1
103,-3,1
104,-1,-1
105,0,3
106,-1,5
107,-1,7
108,-4,4
109,-5,2
110,-2,-2
111,-5,-3
112,-6,-5
113,-4,-6
114,-1,-5
115,0,5
116,-1,2
117,1,7
118,3,7
119,2,3
120,-3,1
121,1,2
122,-1,2
123,-1,1
124,0,-1
125,0,0
126,3,-2
127,4,0
128,3,-2
129,4,-3
130,0,-3
131,5,-4
132,7,-5
133,2,-4
134,0,-4
135,0,0
136,2,-2
137,0,0
138,-3,5
139,-2,3
140,-1,4
141,0,3
142,2,3
143,2,1
144,2,1
145,-3,1
146,-5,1
147,-8,2
148,-6,-1
149,-2,-2
150,4,-1
151,1,-2
152,2,0
153,0,-2
154,1,-4
155,2,-4
156,4,-5
157,3,-6
158,-2,3
159,-1,2
160,0,-1
161,0,1
162,0,0
163,-1,-3
164,-1,-2
165,0,2
166,-2,4
167,-4,8
168,-5,10
169,-3,8
170,0,1
171,-1,1
172,1,-5
173,2,-8
174,1,-7
175,2,-2
176,2,-7
177,3,-4
178,3,3
179,2,-1
180,3,-1
181,2,-2
182,1,-4
183,0,-3
184,-1,-5
185,0,0
186,1,-2
187,2,-1
188,2,-2
189,1,-3
190,2,-3
191,4,-5
192,3,-5
193,2,-2
194,1,0
195,0,0
196,0,1
197,-1,2
198,-1,-1
199,0,-1
200,-3,4
201,-8,9
202,-14,11
203,-18,9
204,11,1
205,7,0
206,-2,2
207,-2,0
208,-3,2
209,-3,1
210,-1,0
211,-4,0
212,-4,-2
213,-2,0
214,-3,1
215,1,2
216,-1,0
217,0,0
218,1,1
219,-1,1
220,-3,0
221,-2,-2
222,-2,0
223,-2,2
224,-1,0
225,1,-1
226,-1,-3
227,-3,-1
228,-5,-1
229,-3,-4
230,6,-3
231,4,-4
232,11,-1
233,8,3
234,6,3
235,2,1
236,6,3
237,5,-1
238,3,-4
239,4,-4
240,3,-2
241,8,-1
242,5,0
243,1,0
244,2,-3
245,0,-5
246,4,-4
247,3,-3
248,1,-3
249,4,-2
250,0,-3
251,3,-2
252,0,-4
253,0,-5
254,3,-5
255,3,-4
256,3,-5
257,1,-3
258,1,-1
259,1,-1
260,2,0
261,3,-1
262,4,-1
263,2,1
264,1,3
265,1,1
266,2,5
267,3,5
268,0,-1
269,2,-4
270,-1,-5
271,1,-11
272,-2,-13
273,-3,-8
274,-3,-7
275,-3,3
276,-3,-3
277,-1,-1
278,0,7
279,0,4
280,-1,2
281,0,2
282,-1,1
283,0,-1
284,-1,0
285,0,2
286,0,2
287,0,3
288,-1,3
289,0,6
290,0,2
291,2,7
292,2,7
293,3,2
294,2,1
295,1,-1
296,1,1
297,0,0
298,-2,0
299,0,1
300,1,1
301,1,2
302,0,2
303,-1,-2
304,-2,-3
305,-1,-2
306,-2,-2
